brand,alias
Aaron P Jagdfeld,Generac
Adaire Fox-Martin,Equinix
Adam Aron,AMC Entertainment
Adam Foroughi,AppLovin
Adam J Greenlee,Silgan
Adam Norwitt,Amphenol
Adam Schechter,Labcorp Holdings
Adam W Miller,Knight Swift Transportation
Adena Friedman,Nasdaq Inc
AJ Jim Teague,Enterprise Products Partners
Alan Armstrong,Williams Companies
Alan Schnitzer,Travelers Insurance
Albert Bourla,Pfizer
Albert Nahmad,Watsco
Albert White III,Cooper Cos
Alessandro Maselli,Catalent
Alex Chriss,PayPal
Allan C Thygesen,DocuSign
Alok Maskara,Lennox International
Aman Bhutani,GoDaddy
Aman Narang,Toast Inc
Amar Maletira,Rackspace Technology
Andi Owen,MillerKnoll
Andrew Anagnost,Autodesk
Andrew Clyde,Murphy USA
Andrew Marsh,Entergy
Andrew McMahon,Guardian Life insurance
Andrew Rees,Crocs
Andrew Silvernail,International Paper
Andrew Sullivan,Prudential Financial
Andrew Teno,Icahn Enterprises
Andrew Wilson,Electronic Arts
Andrés Gluski,AES
Andy Eidson,Alpha Metallurgical Resources
Andy Jassy,Amazon
Andy L Nemeth,Patrick Industries
Andy P Power,Digital Realty Trust
Anirudh Devgan,Cadence
Anne P Noonan,Summit Materials
Anthony Capuano,Marriott International
Anthony Guzzi,EMCOR Group
Anthony J Wood,Roku
Anthony Smurfit,Smurfit Westrock
Antonio Neri,Hewlett Packard Enterprise
Ara K Hovnanian,Hovnanian Enterprises
Ari Bousbib,IQVIA
Ariane Gorin,Expedia
Arie Kotler,ARKO
Arkadiy Dobkin,EPAM Systems
Arvind Krishna,IBM
Ashish Chand,Belden
Ashish K Khandpur,Avient
Avigal Soreq,Delek US
Avner M Applbaum,Valmont Industries
B Andrew Rose,Worthington Enterprises
Barry L Biffle,Frontier Airlines
Barry R Port,Ensign Group
Benito Minicucci,Alaska Air
Benjamin Tisch,Loews
Benjamin W Schall,AvalonBay Communities
Bernard Kim,Match Group
Bernard Zovighian,Edwards Lifesciences
Bertrand Loy,Entegris
Beth Ford,Land O'Lakes
Bill Burns,Zebra Technologies
Bill Meury,Incyte
Bill Ready,Pinterest
Bill Westrate,American Family Insurance
Blake Moret,Rockwell Automation
Bob Eddy,BJ's Wholesale Club
Bob Flexon,UGI Utilities Inc
Bob Iger,Walt Disney
Bob Jordan,Southwest Airlines
Bob Michael,AbbVie
Bob Pragada,Jacobs Solutions
Bom Kim,Coupang
Bracken Darrell,VF Corporation
Brad Beckham,O'Reilly Automotive
Brad Jacobs,QXO Building Products
Brendan M Foley,McCormick & Company
Brendan McCracken,Ovintiv
Brendan T Cavanagh,SBA Communications
Brent L Yeagy,Wabash National
Brent Shafer,Baxter International
Brian Armstrong,Coinbase Global
Brian Chambers,Owens Corning
Brian Chesky,Airbnb
Brian D Pieninck,GuideWell Mutual
Brian Doubles,Synchrony Financial
Brian E Lane,Comfort Systems USA
Brian J Blaser,QuidelOrtho
Brian Moynihan,Bank of America
Brian Niccol,Starbucks
Brian R Gray,Knife River Corporation
Brian Robbins,Paramount Global
Brian Roberts,Comcast
Brian Tierney,FirstEnergy
Brian Tyler,McKesson
Bruce Bodine,The Mosaic Company
Bruce Fleming,Calumet Inc
Bruce L Caswell,Maximus
Bruce Van Saun,Citizens Financial Group
Bryan DeBoer,Lithia Motors
Bryan Hanson,Solventum
Bryan J Knutson,Titan Machinery
C Howard Nye,Martin Marietta Materials
Calvin G Butler Jr,Exelon
Calvin McDonald,Lululemon athletica
Cameron Bready,Global Payments
Carey A Smith,Parsons Corporation
