alias,ceo,company
Doug McMillon Walmart,Doug McMillon,Walmart
Andrew Jassy Amazon,Andrew Jassy,Amazon
Stephen Hemsley UnitedHealth,Stephen Hemsley,UnitedHealth
Tim Cook Apple,Tim Cook,Apple
David Joyner CVS Health,David Joyner,CVS Health
Warren Buffett Berkshire Hathaway,Warren Buffett,Berkshire Hathaway
Sundar Pichai Alphabet,Sundar Pichai,Alphabet
Darren Woods Exxon Mobil,Darren Woods,Exxon Mobil
Brian Tyler McKesson,Brian Tyler,McKesson
Robert Mauch Cencora,Robert Mauch,Cencora
Jamie Dimon JPMorgan Chase,Jamie Dimon,JPMorgan Chase
Ron Vachris Costco,Ron Vachris,Costco
David Cordani Cigna,David Cordani,Cigna
Satya Nadella Microsoft,Satya Nadella,Microsoft
Jason Hollar Cardinal Health,Jason Hollar,Cardinal Health
Mike Wirth Chevron,Mike Wirth,Chevron
Brian Moynihan Bank of America,Brian Moynihan,Bank of America
Mary Barra General Motors,Mary Barra,General Motors
Jim Farley Ford Motor,Jim Farley,Ford Motor
Gail Boudreaux Elevance Health,Gail Boudreaux,Elevance Health
Jane Fraser Citigroup,Jane Fraser,Citigroup
Mark Zuckerberg Meta Platforms,Mark Zuckerberg,Meta Platforms
Sarah London Centene,Sarah London,Centene
Ted Decker Home Depot,Ted Decker,Home Depot
Priscilla Almodovar Fannie Mae,Priscilla Almodovar,Fannie Mae
Ron Sargent Kroger,Ron Sargent,Kroger
Mark Lashier Phillips 66,Mark Lashier,Phillips 66
Maryann Mannen Marathon Petroleum,Maryann Mannen,Marathon Petroleum
Hans Vestberg Verizon,Hans Vestberg,Verizon
Jensen Huang Nvidia,Jensen Huang,Nvidia
David Solomon Goldman Sachs,David Solomon,Goldman Sachs
Charles Scharf Wells Fargo,Charles Scharf,Wells Fargo
Lane Riggs Valero Energy,Lane Riggs,Valero Energy
Brian Roberts Comcast,Brian Roberts,Comcast
Jon Farney State Farm Insurance,Jon Farney,State Farm Insurance
John Stankey AT&T,John Stankey,AT&T
Michael Hutchins Freddie Mac,Michael Hutchins,Freddie Mac
Jim Rechtin Humana,Jim Rechtin,Humana
Ted Pick Morgan Stanley,Ted Pick,Morgan Stanley
Michael Fiddelke Target,Michael Fiddelke,Target
Philip Smith StoneX Group,Philip Smith,StoneX Group
Elon Musk Tesla,Elon Musk,Tesla
Michael Dell Dell Technologies,Michael Dell,Dell Technologies
Ramon Laguarta PepsiCo,Ramon Laguarta,PepsiCo
Bob Iger Walt Disney,Bob Iger,Walt Disney
Carol Tome UPS,Carol Tome,UPS
Joaquin Duato Johnson & Johnson,Joaquin Duato,Johnson & Johnson
Rajesh Subramaniam FedEx,Rajesh Subramaniam,FedEx
Juan Luciano Archer Daniels Midland,Juan Luciano,Archer Daniels Midland
Jon Moeller Procter & Gamble,Jon Moeller,Procter & Gamble
Marvin Ellison Lowe's,Marvin Ellison,Lowe's
Thomas Long Energy Transfer,Thomas Long,Energy Transfer
Christopher Calio RTX,Christopher Calio,RTX
Susan Morris Albertsons,Susan Morris,Albertsons
Kevin Hourican Sysco,Kevin Hourican,Sysco
Tricia Griffith Progressive Insurance,Tricia Griffith,Progressive Insurance
Stephen Squeri American Express,Stephen Squeri,American Express
James Taiclet Lockheed Martin,James Taiclet,Lockheed Martin
Michel Khalaf MetLife,Michel Khalaf,MetLife
Samuel Hazen HCA Healthcare,Samuel Hazen,HCA Healthcare
Andrew Sullivan Prudential Financial,Andrew Sullivan,Prudential Financial
Kelly Ortberg Boeing,Kelly Ortberg,Boeing
Joe Creed Caterpillar,Joe Creed,Caterpillar
Robert M Davis Merck,Robert M Davis,Merck
Thomas J Wilson Allstate,Thomas J Wilson,Allstate
Albert Bourla Pfizer,Albert Bourla,Pfizer
Arvind Krishna IBM,Arvind Krishna,IBM
Craig DeSanto New York Life Insurance,Craig DeSanto,New York Life Insurance
Ed Bastian Delta Air Lines,Ed Bastian,Delta Air Lines
Kevin Murphy Publix Super Markets,Kevin Murphy,Publix Super Markets
Kirt Walker Nationwide Insurance,Kirt Walker,Nationwide Insurance
Patrick Zammit TD Synnex,Patrick Zammit,TD Synnex
Scott Kirby United Airlines,Scott Kirby,United Airlines
Ryan Lance ConocoPhillips,Ryan Lance,ConocoPhillips
Ernie Herrman TJX,Ernie Herrman,TJX
Bob Michael AbbVie,Bob Michael,AbbVie
AJ Jim Teague Enterprise Products Partners,AJ Jim Teague,Enterprise Products Partners
Christopher Winfrey Charter Communications,Christopher Winfrey,Charter Communications
George Holm Performance Food,George Holm,Performance Food
Robert Isom American Airlines,Robert Isom,American Airlines
Richard Fairbank Capital One,Richard Fairbank,Capital One
Chuck Robbins Cisco Systems,Chuck Robbins,Cisco Systems
Enrique Lores HP,Enrique Lores,HP
Donnie King Tyson Foods,Donnie King,Tyson Foods
Lip-Bu Tan Intel,Lip-Bu Tan,Intel
Safra Catz Oracle,Safra Catz,Oracle
Hock Tan Broadcom,Hock Tan,Broadcom
John May Deere,John May,Deere
Elliott Hill Nike,Elliott Hill,Nike
Timothy M Sweeney Liberty Mutual Insurance,Timothy M Sweeney,Liberty Mutual Insurance
Willie Chiang Plains GP,Willie Chiang,Plains GP
Juan Andrade USAA,Juan Andrade,USAA
Chris Boerner Bristol-Myers Squibb,Chris Boerner,Bristol-Myers Squibb
Paul Bay Ingram Micro,Paul Bay,Ingram Micro
Phebe Novakovic General Dynamics,Phebe Novakovic,General Dynamics
James Quincey The Coca-Cola Company,James Quincey,The Coca-Cola Company
Thasunda Brown Duckett TIAA,Thasunda Brown Duckett,TIAA
Alan Schnitzer Travelers Insurance,Alan Schnitzer,Travelers Insurance
David Ricks Eli Lilly,David Ricks,Eli Lilly
Dara Khosrowshahi Uber,Dara Khosrowshahi,Uber
Roger Crandall Mass Mutual,Roger Crandall,Mass Mutual
Marc Casper Thermo Fisher Scientific,Marc Casper,Thermo Fisher Scientific
Gunjan Kedia US Bancorp,Gunjan Kedia,US Bancorp
Michael Kasbar World Kinect,Michael Kasbar,World Kinect
Robert Ford Abbott Laboratories,Robert Ford,Abbott Laboratories
Corie Barry Best Buy,Corie Barry,Best Buy
Tim Gerend Northwestern Mutual,Tim Gerend,Northwestern Mutual
Kathy Warden Northrop Grumman,Kathy Warden,Northrop Grumman
Joe Zubretsky Molina Healthcare,Joe Zubretsky,Molina Healthcare
Todd Vasos Dollar General,Todd Vasos,Dollar General
Robin Vince Bank of New York Mellon,Robin Vince,Bank of New York Mellon
David Zaslav Warner Bros Discovery,David Zaslav,Warner Bros Discovery
Jay Debertin CHS,Jay Debertin,CHS
Ted Sarandos Netflix,Ted Sarandos,Netflix
Cristiano Amon Qualcomm,Cristiano Amon,Qualcomm
Vimal Kapur Honeywell,Vimal Kapur,Honeywell
Marc Benioff Salesforce,Marc Benioff,Salesforce
Jacek Olczak Philip Morris International,Jacek Olczak,Philip Morris International
David Flitman US Foods,David Flitman,US Foods
Paul Romanowski DR Horton,Paul Romanowski,DR Horton
Bryan DeBoer Lithia Motors,Bryan DeBoer,Lithia Motors
Dirk Van de Put Mondelez,Dirk Van de Put,Mondelez
Brian Niccol Starbucks,Brian Niccol,Starbucks
Ryan McInerney Visa,Ryan McInerney,Visa
Robert Sulentic CBRE Group,Robert Sulentic,CBRE Group
Jonathan Jaffe Lennar,Jonathan Jaffe,Lennar
Scott Strazik GE Vernova,Scott Strazik,GE Vernova
William Demchak PNC Financial Services,William Demchak,PNC Financial Services
Jennifer Rumsey Cummins,Jennifer Rumsey,Cummins
Preston Feight Paccar,Preston Feight,Paccar
Robert Bradway Amgen,Robert Bradway,Amgen
Matthew Lucey PBF Energy,Matthew Lucey,PBF Energy
Brian D Pieninck GuideWell Mutual,Brian D Pieninck,GuideWell Mutual
Alex Chriss PayPal,Alex Chriss,PayPal
Sandy Douglas United Natural Foods,Sandy Douglas,United Natural Foods
Michael Creedon Dollar Tree,Michael Creedon,Dollar Tree
Leon Topalian Nucor,Leon Topalian,Nucor
Roger Penske Penske Automotive,Roger Penske,Penske Automotive
Bom Kim Coupang,Bom Kim,Coupang
Antonio Neri Hewlett Packard Enterprise,Antonio Neri,Hewlett Packard Enterprise
Harry Sideris Duke Energy,Harry Sideris,Duke Energy
Joseph Bae KKR & Co,Joseph Bae,KKR & Co
Kevin Murphy Ferguson Enterprises,Kevin Murphy,Ferguson Enterprises
Brian Robbins Paramount Global,Brian Robbins,Paramount Global
