date,ceo,total,controlled,negative_serp,neutral_serp,positive_serp,company
2025-10-08,Janno Lieber,28,11,5,11,12,OMNY
2025-10-08,Monica Tibbits-Nutt,40,12,1,24,15,Boston T
2025-10-08,Phillip Eng,37,9,0,22,15,Massachusetts Bay Transportation Authority
2025-10-08,Randy Clarke,29,13,0,11,18,DC Metro
2025-10-09,Janno Lieber,29,12,4,12,13,NYC Subway
2025-10-09,Monica Tibbits-Nutt,40,14,1,23,16,Boston T
2025-10-09,Phillip Eng,37,10,0,21,16,MBTA
2025-10-09,Randy Clarke,28,11,0,13,15,Metrorail
2025-10-10,Janno Lieber,30,12,7,9,14,MTA
2025-10-10,Monica Tibbits-Nutt,40,13,1,24,15,Boston T
2025-10-10,Phillip Eng,40,10,0,26,14,MBTA
2025-10-10,Randy Clarke,29,12,0,13,16,DC Metro
