date,company,positive,neutral,negative,total,neg_pct
2025-10-07,3M Company,19,26,5,50,0.100000
2025-10-07,A O Smith,10,40,0,50,0.000000
2025-10-07,A-Mark Precious Metals,46,4,0,50,0.000000
2025-10-07,ABM Industries,14,24,12,50,0.240000
2025-10-07,ADT,22,21,7,50,0.140000
2025-10-07,AECOM,22,26,2,50,0.040000
2025-10-07,AES,12,28,10,50,0.200000
2025-10-07,AGCO,21,25,4,50,0.080000
2025-10-07,AGNC Investment,19,24,7,50,0.140000
2025-10-07,AIG,10,38,2,50,0.040000
2025-10-07,AMC Entertainment,38,6,6,50,0.120000
2025-10-07,AMC Networks,13,26,11,50,0.220000
2025-10-07,AMN Healthcare Services,13,29,8,50,0.160000
2025-10-07,APA,17,28,5,50,0.100000
2025-10-07,APi Group,21,23,6,50,0.120000
2025-10-07,ARKO,10,36,4,50,0.080000
2025-10-07,ASGN,19,20,11,50,0.220000
2025-10-07,AT&T,14,26,10,50,0.200000
2025-10-07,ATI Inc,20,28,2,50,0.040000
2025-10-07,AbbVie,22,17,11,50,0.220000
2025-10-07,Abbott Laboratories,23,17,10,50,0.200000
2025-10-07,Abercrombie & Fitch,25,18,7,50,0.140000
2025-10-07,Academy Sports and Outdoors,16,29,5,50,0.100000
2025-10-07,Acadia Healthcare,8,33,9,50,0.180000
2025-10-07,Ace Hardware,13,26,11,50,0.220000
2025-10-07,Acuity Inc,22,25,3,50,0.060000
2025-10-07,Adams Resources & Energy,21,5,1,27,0.037037
2025-10-07,AdaptHealth,15,28,7,50,0.140000
2025-10-07,Adobe,29,17,4,50,0.080000
2025-10-07,Advance Auto Parts,13,25,12,50,0.240000
2025-10-07,Advanced Drainage Systems,42,6,2,50,0.040000
2025-10-07,Advanced Micro Devices,32,10,8,50,0.160000
2025-10-07,Advantage Solutions,36,9,5,50,0.100000
2025-10-07,Aflac,17,23,10,50,0.200000
2025-10-07,Agilent Technologies,22,25,3,50,0.060000
2025-10-07,Agilon Health,10,31,9,50,0.180000
2025-10-07,Air Lease,14,31,5,50,0.100000
2025-10-07,Air Products & Chemicals,15,28,7,50,0.140000
2025-10-07,Airbnb,15,28,7,50,0.140000
2025-10-07,Akamai Technologies,22,23,5,50,0.100000
2025-10-07,Alaska Air,20,26,4,50,0.080000
2025-10-07,Albemarle Corporation,8,35,7,50,0.140000
2025-10-07,Albertsons,17,20,13,50,0.260000
2025-10-07,Alcoa Corporation,12,30,8,50,0.160000
2025-10-07,Alexandria Real Estate Equities,19,29,2,50,0.040000
2025-10-07,Alight Solutions,16,29,5,50,0.100000
2025-10-07,Align Technology,6,28,16,50,0.320000
2025-10-07,Allegiant Travel Company,18,29,3,50,0.060000
2025-10-07,Alliance Resource Partners,15,26,9,50,0.180000
2025-10-07,Alliant Energy,36,7,7,50,0.140000
2025-10-07,Allison Transmission,13,31,6,50,0.120000
2025-10-07,Allstate,21,24,5,50,0.100000
2025-10-07,Ally Financial,18,31,1,50,0.020000
2025-10-07,Alpha Metallurgical Resources,17,26,7,50,0.140000
2025-10-07,Alphabet,23,23,4,50,0.080000
2025-10-07,Altice USA,23,23,4,50,0.080000
2025-10-07,Altria,23,21,6,50,0.120000
2025-10-07,Amazon,29,18,3,50,0.060000
2025-10-07,Ameren,13,33,4,50,0.080000
2025-10-07,American Airlines,12,26,12,50,0.240000
2025-10-07,American Axle & Manufacturing,11,33,6,50,0.120000
2025-10-07,American Eagle Outfitters,14,28,8,50,0.160000
2025-10-07,American Electric Power,22,25,3,50,0.060000
2025-10-07,American Express,22,27,1,50,0.020000
2025-10-07,American Family Insurance,27,18,5,50,0.100000
2025-10-07,American Financial Group,13,33,4,50,0.080000
2025-10-07,American Tower,21,20,9,50,0.180000
2025-10-07,American Water Works,17,30,3,50,0.060000
2025-10-07,Americold Realty Trust,43,5,2,50,0.040000
2025-10-07,Ameriprise Financial,24,23,3,50,0.060000
2025-10-07,Ametek,27,19,4,50,0.080000
2025-10-07,Amgen,24,20,6,50,0.120000
2025-10-07,Amica Mutual Insurance,12,36,2,50,0.040000
2025-10-07,Amkor Technology,19,28,3,50,0.060000
2025-10-07,Amphenol,30,18,2,50,0.040000
2025-10-07,Analog Devices,27,20,3,50,0.060000
2025-10-07,Antero Resources,25,21,4,50,0.080000
2025-10-07,Anywhere Real Estate Inc,22,26,2,50,0.040000
2025-10-07,Apollo Global Management,20,23,7,50,0.140000
2025-10-07,AppLovin,8,33,9,50,0.180000
2025-10-07,Apple,22,19,9,50,0.180000
2025-10-07,Applied Industrial Technologies,15,35,0,50,0.000000
2025-10-07,Applied Materials,4,34,12,50,0.240000
2025-10-07,AptarGroup,20,27,3,50,0.060000
2025-10-07,Aramark,28,19,3,50,0.060000
2025-10-07,ArcBest,12,32,6,50,0.120000
2025-10-07,Arch Resources,38,6,6,50,0.120000
2025-10-07,Archer Daniels Midland,18,24,8,50,0.160000
2025-10-07,Ares Management,26,24,0,50,0.000000
2025-10-07,Arista Networks,31,19,0,50,0.000000
2025-10-07,Arrow Electronics,14,32,4,50,0.080000
2025-10-07,Arthur J Gallagher,11,35,4,50,0.080000
2025-10-07,Asbury Automotive Group,12,32,6,50,0.120000
2025-10-07,Assurant,21,23,6,50,0.120000
2025-10-07,Atkore,12,35,3,50,0.060000
2025-10-07,Atlassian,11,26,13,50,0.260000
2025-10-07,Atmos Energy,43,5,2,50,0.040000
2025-10-07,Auto-Owners Insurance,12,33,5,50,0.100000
2025-10-07,AutoNation,12,33,5,50,0.100000
2025-10-07,AutoZone,11,27,12,50,0.240000
2025-10-07,Autodesk,16,33,1,50,0.020000
2025-10-07,Autoliv,25,23,2,50,0.040000
2025-10-07,Automatic Data Processing,17,27,6,50,0.120000
2025-10-07,AvalonBay Communities,12,33,5,50,0.100000
2025-10-07,Avantor,11,32,7,50,0.140000
2025-10-07,Avery Dennison,15,32,3,50,0.060000
2025-10-07,Avient,15,33,2,50,0.040000
2025-10-07,Avis Budget,11,27,12,50,0.240000
2025-10-07,Avnet,9,38,3,50,0.060000
2025-10-07,BJ's Wholesale Club,22,21,7,50,0.140000
2025-10-07,BOK Financial,20,25,5,50,0.100000
2025-10-07,BWX Technologies,27,22,1,50,0.020000
2025-10-07,Baker Hughes,19,27,4,50,0.080000
2025-10-07,Ball Corporation,24,24,2,50,0.040000
2025-10-07,Bank of America,17,29,4,50,0.080000
2025-10-07,Bank of New York Mellon,26,23,1,50,0.020000
2025-10-07,Bath & Body Works,25,21,4,50,0.080000
2025-10-07,Baxter International,17,24,9,50,0.180000
2025-10-07,Becton Dickinson,22,21,7,50,0.140000
2025-10-07,Belden,13,29,8,50,0.160000
2025-10-07,Benchmark Electronics,9,33,8,50,0.160000
2025-10-07,Berkshire Hathaway,15,27,8,50,0.160000
2025-10-07,Berry Global,11,31,8,50,0.160000
2025-10-07,Best Buy,44,4,2,50,0.040000
2025-10-07,Bio-Rad Laboratories,12,32,6,50,0.120000
2025-10-07,Biogen,15,30,5,50,0.100000
2025-10-07,BlackRock,22,26,2,50,0.040000
2025-10-07,Blackstone,13,31,6,50,0.120000
2025-10-07,Bloomin Brands,8,32,10,50,0.200000
2025-10-07,BlueLinx,7,38,5,50,0.100000
2025-10-07,Boeing,9,30,11,50,0.220000
2025-10-07,Boise Cascade,7,22,21,50,0.420000
2025-10-07,Booking Holdings,24,21,5,50,0.100000
2025-10-07,Booz Allen Hamilton,14,30,6,50,0.120000
2025-10-07,BorgWarner,33,16,1,50,0.020000
2025-10-07,Boston Properties,9,34,7,50,0.140000
2025-10-07,Boston Scientific,19,26,5,50,0.100000
2025-10-07,Boyd Gaming,3,25,22,50,0.440000
2025-10-07,Bread Financial,23,23,4,50,0.080000
2025-10-07,BrightSpring Health Services,15,31,4,50,0.080000
2025-10-07,BrightView Holdings,14,26,10,50,0.200000
2025-10-07,Brighthouse Financial,13,32,5,50,0.100000
2025-10-07,Brinker International,21,23,6,50,0.120000
2025-10-07,Brinks Company,11,6,5,22,0.227273
2025-10-07,Bristol-Myers Squibb,16,29,5,50,0.100000
2025-10-07,Broadcom,15,20,15,50,0.300000
2025-10-07,Broadridge Financial Solutions,27,22,1,50,0.020000
2025-10-07,Brookdale Senior Living,16,26,8,50,0.160000
2025-10-07,Brown & Brown,8,33,9,50,0.180000
2025-10-07,Brown-Forman,20,20,10,50,0.200000
2025-10-07,Bruker,11,27,12,50,0.240000
2025-10-07,Brunswick Corporation,24,20,6,50,0.120000
2025-10-07,Builders FirstSource,16,31,3,50,0.060000
2025-10-07,Burlington Stores,15,32,3,50,0.060000
2025-10-07,CACI International,27,21,2,50,0.040000
2025-10-07,CBRE Group,18,32,0,50,0.000000
2025-10-07,CDW,18,32,0,50,0.000000
2025-10-07,CF Industries,16,30,4,50,0.080000
2025-10-07,CH Robinson Worldwide,20,28,2,50,0.040000
2025-10-07,CHS,19,27,4,50,0.080000
2025-10-07,CIncinnati Financial,19,24,7,50,0.140000
2025-10-07,CME Group,12,36,2,50,0.040000
2025-10-07,CMS Energy,45,4,1,50,0.020000
2025-10-07,CNO Financial Group,15,33,2,50,0.040000
2025-10-07,CNX Resources,18,32,0,50,0.000000
2025-10-07,CSX,18,18,14,50,0.280000
2025-10-07,CVS Health,26,17,7,50,0.140000
2025-10-07,Cabot Corporation,15,30,5,50,0.100000
2025-10-07,Cadence,22,22,6,50,0.120000
2025-10-07,Caesars Entertainment,38,11,1,50,0.020000
2025-10-07,Cal-Maine Foods,26,16,8,50,0.160000
2025-10-07,Caleres Inc,16,27,7,50,0.140000
2025-10-07,California Resources,19,25,6,50,0.120000
2025-10-07,Calumet Inc,21,21,8,50,0.160000
2025-10-07,Campbell Soup,10,32,8,50,0.160000
2025-10-07,Camping World,5,27,18,50,0.360000
2025-10-07,Capital One,20,25,5,50,0.100000
2025-10-07,CarMax,11,27,12,50,0.240000
2025-10-07,Cardinal Health,20,23,7,50,0.140000
2025-10-07,Carlisle Companies,20,23,7,50,0.140000
2025-10-07,Carlyle Group,13,33,4,50,0.080000
2025-10-07,Carpenter Technology,19,29,2,50,0.040000
2025-10-07,Carrier Global,22,22,6,50,0.120000
2025-10-07,Carters Inc,8,22,3,33,0.090909
2025-10-07,Carvana,17,28,5,50,0.100000
2025-10-07,Caseys General Stores,16,29,5,50,0.100000
2025-10-07,Catalent,9,34,7,50,0.140000
2025-10-07,Caterpillar,20,24,6,50,0.120000
2025-10-07,Cboe Global Markets,21,25,4,50,0.080000
2025-10-07,Celanese,14,24,12,50,0.240000
2025-10-07,Cencora,24,23,3,50,0.060000
2025-10-07,Centene,19,16,15,50,0.300000
2025-10-07,CenterPoint Energy,38,6,6,50,0.120000
2025-10-07,Central Garden & Pet,12,32,6,50,0.120000
2025-10-07,Century Communities,22,27,1,50,0.020000
2025-10-07,ChampionX,25,25,0,50,0.000000
2025-10-07,Charles River Laboratories International,14,30,6,50,0.120000
2025-10-07,Charles Schwab,26,22,2,50,0.040000
2025-10-07,Chart Industries,15,31,4,50,0.080000
2025-10-07,Charter Communications,9,25,16,50,0.320000
2025-10-07,Cheesecake Factory,17,23,10,50,0.200000
2025-10-07,Chefs Warehouse,17,27,6,50,0.120000
2025-10-07,Chemours,15,21,14,50,0.280000
2025-10-07,Cheniere Energy,42,7,1,50,0.020000
2025-10-07,Chevron,6,10,34,50,0.680000
2025-10-07,Chewy,22,18,10,50,0.200000
2025-10-07,Chipotle Mexican Grill,19,28,3,50,0.060000
2025-10-07,Chord Energy,42,6,2,50,0.040000
2025-10-07,Church & Dwight,23,23,4,50,0.080000
2025-10-07,Ciena,20,27,3,50,0.060000
2025-10-07,Cigna,15,24,11,50,0.220000
2025-10-07,Cinemark,15,27,8,50,0.160000
2025-10-07,Cintas,24,21,5,50,0.100000
2025-10-07,Cisco Systems,27,18,5,50,0.100000
2025-10-07,Citigroup,14,30,6,50,0.120000
2025-10-07,Citizens Financial Group,16,31,3,50,0.060000
2025-10-07,Civitas Resources,13,30,7,50,0.140000
