date,company,positive,neutral,negative,total,neg_pct
2025-10-20,Boston T,9,24,17,50,0.340000
2025-10-20,DC Metro,11,24,15,50,0.300000
2025-10-20,MBTA,7,29,14,50,0.280000
2025-10-20,MTA,12,25,13,50,0.260000
2025-10-20,Massachusetts Bay Transportation Authority,15,22,13,50,0.260000
2025-10-20,Metrorail,10,17,23,50,0.460000
2025-10-20,NYC Subway,7,16,27,50,0.540000
2025-10-20,OMNY,9,29,12,50,0.240000
2025-10-20,The T,11,27,12,50,0.240000
2025-10-20,Washington Metropolitan Area Transit Authority,10,33,7,50,0.140000
