date,company,positive_articles,neutral_articles,negative_articles,total,neg_pct
2025-11-30,Boston T,10,23,17,50,0.340000
2025-11-30,CTA,13,8,29,50,0.580000
2025-11-30,Chicago Transit Authority,12,23,15,50,0.300000
2025-11-30,DC Metro,11,21,18,50,0.360000
2025-11-30,MBTA,7,23,20,50,0.400000
2025-11-30,MTA,12,22,16,50,0.320000
2025-11-30,Massachusetts Bay Transportation Authority,12,22,16,50,0.320000
2025-11-30,Metrorail,7,20,23,50,0.460000
2025-11-30,NYC Subway,7,18,25,50,0.500000
2025-11-30,OMNY,14,25,11,50,0.220000
2025-11-30,The L,32,12,6,50,0.120000
2025-11-30,The T,14,24,12,50,0.240000
2025-11-30,Washington Metropolitan Area Transit Authority,10,34,6,50,0.120000
