date,company,total,controlled,negative_serp,neutral_serp,positive_serp
2025-09-19,3M,7,0,0,3,4
2025-09-19,A O Smith,7,0,0,2,5
2025-09-19,A-Mark Precious Metals,7,0,0,0,7
2025-09-19,ABM Industries,7,0,0,0,7
2025-09-19,ADT,6,0,1,1,4
2025-09-19,AECOM,6,0,0,3,3
2025-09-19,AES,10,0,0,1,9
2025-09-19,AGCO,6,0,0,2,4
2025-09-19,AGNC Investment,6,0,0,0,6
2025-09-19,AIG,7,0,2,2,3
2025-09-19,AMC Entertainment,7,0,0,0,7
2025-09-19,AMC Networks,6,0,2,1,3
2025-09-19,AMN Healthcare Services,7,0,0,0,7
2025-09-19,APA,10,0,0,4,6
2025-09-19,APi Group,5,0,0,1,4
2025-09-19,ARKO,8,0,0,2,6
2025-09-19,ASGN,96,0,4,25,67
2025-09-19,AT&T,6,0,0,0,6
2025-09-19,ATI Inc,7,0,0,4,3
2025-09-19,AbbVie,6,0,0,1,5
2025-09-19,Abbott Laboratories,7,0,0,0,7
2025-09-19,Abercrombie & Fitch,9,0,0,3,6
2025-09-19,Academy Sports and Outdoors,9,0,0,4,5
2025-09-19,Acadia Healthcare,6,0,1,3,2
2025-09-19,Ace Hardware,9,0,0,0,9
2025-09-19,Acuity Inc,7,0,3,1,3
2025-09-19,Adams Resources & Energy,7,0,1,0,6
2025-09-19,AdaptHealth,7,0,0,0,7
2025-09-19,Adobe,6,0,0,1,5
2025-09-19,Advance Auto Parts,9,0,0,4,5
2025-09-19,Advanced Drainage Systems,7,0,0,0,7
2025-09-19,Advanced Micro Devices,5,0,0,1,4
2025-09-19,Advantage Solutions,7,0,1,0,6
2025-09-19,Aflac,6,0,0,0,6
2025-09-19,Agilent Technologies,7,0,0,3,4
2025-09-19,Agilon Health,7,0,0,1,6
2025-09-19,Air Lease,5,0,1,2,2
2025-09-19,Air Products & Chemicals,7,0,0,4,3
2025-09-19,Airbnb,6,0,0,3,3
2025-09-19,Akamai Technologies,5,0,0,1,4
2025-09-19,Alaska Air,5,0,0,1,4
2025-09-19,Albemarle Corporation,6,0,1,2,3
2025-09-19,Albertsons,7,0,0,2,5
2025-09-19,Alcoa Corporation,7,0,0,4,3
2025-09-19,Alexandria Real Estate Equities,6,0,0,1,5
2025-09-19,Alight Solutions,7,0,0,0,7
2025-09-19,Align Technology,7,0,0,0,7
2025-09-19,Allegiant Travel Company,7,0,0,2,5
2025-09-19,Alliance Resource Partners,7,0,0,0,7
2025-09-19,Alliant Energy,7,0,0,0,7
2025-09-19,Allison Transmission,6,0,0,2,4
2025-09-19,Allstate,7,0,2,1,4
2025-09-19,Ally Financial,8,0,0,2,6
2025-09-19,Alpha Metallurgical Resources,6,0,0,5,1
2025-09-19,Alphabet,11,0,0,5,6
2025-09-19,Altice USA,7,0,0,2,5
2025-09-19,Altria,5,0,1,1,3
2025-09-19,Amazon,8,0,0,0,8
2025-09-19,Ameren,6,0,0,2,4
2025-09-19,American Airlines,7,0,1,0,6
2025-09-19,American Axle & Manufacturing,6,0,0,3,3
2025-09-19,American Eagle Outfitters,8,0,0,4,4
2025-09-19,American Electric Power,7,0,0,2,5
2025-09-19,American Express,4,0,0,1,3
2025-09-19,American Family Insurance,7,0,2,1,4
2025-09-19,American Financial Group,7,0,3,1,3
2025-09-19,American Tower,9,0,0,2,7
2025-09-19,American Water Works,7,0,1,0,6
2025-09-19,Americold Realty Trust,6,0,0,0,6
2025-09-19,Ameriprise Financial,7,0,1,3,3
2025-09-19,Ametek,7,0,2,3,2
2025-09-19,Amgen,7,0,1,2,4
2025-09-19,Amica Mutual Insurance,7,0,0,3,4
2025-09-19,Amkor Technology,7,0,0,3,4
2025-09-19,Amphenol,6,0,0,2,4
2025-09-19,Analog Devices,6,0,0,3,3
2025-09-19,Antero Resources,6,0,0,0,6
2025-09-19,Anywhere Real Estate Inc,7,0,0,3,4
2025-09-19,Apollo Global Management,6,0,1,0,5
2025-09-19,AppLovin,6,0,0,0,6
2025-09-19,Apple,6,0,1,2,3
2025-09-19,Applied Industrial Technologies,9,0,0,3,6
2025-09-19,Applied Materials,6,0,2,1,3
2025-09-19,AptarGroup,7,0,0,1,6
2025-09-19,Aramark,6,0,0,4,2
2025-09-19,ArcBest,6,0,0,0,6
2025-09-19,Arch Resources,9,0,0,2,7
2025-09-19,Archer Daniels Midland,7,0,0,2,5
2025-09-19,Ares Management,5,0,0,1,4
2025-09-19,Arista Networks,5,0,0,2,3
2025-09-19,Arrow Electronics,7,0,0,2,5
2025-09-19,Arthur J Gallagher,5,0,0,1,4
2025-09-19,Asbury Automotive Group,6,0,1,1,4
2025-09-19,Assurant,7,0,1,1,5
2025-09-19,Atkore,6,0,0,1,5
2025-09-19,Atlassian,5,0,1,1,3
2025-09-19,Atmos Energy,5,0,0,0,5
2025-09-19,Auto-Owners Insurance,7,0,0,3,4
2025-09-19,AutoNation,7,0,0,4,3
2025-09-19,AutoZone,6,0,0,2,4
2025-09-19,Autodesk,5,0,0,1,4
2025-09-19,Autoliv,6,0,0,0,6
2025-09-19,Automatic Data Processing,7,0,0,1,6
2025-09-19,AvalonBay Communities,7,0,0,1,6
2025-09-19,Avantor,7,0,0,0,7
2025-09-19,Avery Dennison,7,0,0,2,5
2025-09-19,Avient,6,0,0,2,4
2025-09-19,Avis Budget,9,0,0,1,8
2025-09-19,Avnet,7,0,1,1,5
2025-09-19,BJ's Wholesale Club,5,0,0,1,4
2025-09-19,BOK Financial,7,0,0,4,3
2025-09-19,BWX Technologies,6,0,0,2,4
2025-09-19,Baker Hughes,5,0,1,0,4
2025-09-19,Ball Corporation,6,0,0,0,6
2025-09-19,Bank of America,7,0,0,1,6
2025-09-19,Bank of New York Mellon,7,0,0,2,5
2025-09-19,Bath & Body Works,7,0,0,1,6
2025-09-19,Baxter International,7,0,0,3,4
2025-09-19,Becton Dickinson,8,0,0,4,4
2025-09-19,Belden,7,0,0,1,6
2025-09-19,Benchmark Electronics,6,0,0,2,4
2025-09-19,Berkshire Hathaway,9,0,1,3,5
2025-09-19,Berry Global,7,0,0,1,6
2025-09-19,Best Buy,8,0,0,0,8
2025-09-19,Bio-Rad Laboratories,6,0,0,3,3
2025-09-19,Biogen,5,0,0,2,3
2025-09-19,BlackRock,5,0,1,0,4
2025-09-19,Blackstone,6,0,0,1,5
2025-09-19,Bloomin Brands,6,0,0,1,5
2025-09-19,BlueLinx,6,0,1,2,3
2025-09-19,Boeing,5,0,0,2,3
2025-09-19,Boise Cascade,7,0,1,2,4
