date,company,title,url,position,snippet,sentiment,controlled
2026-01-23,Massachusetts Bay Transportation Authority,MBTA - Massachusetts Bay Transportation Authority,https://www.mbta.com/,1,"Public transit in the Greater Boston region. Routes, schedules, trip planner, fares, service alerts, real-time updates, and general information.",positive,True
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority,https://en.wikipedia.org/wiki/Massachusetts_Bay_Transportation_Authority,2,"The public agency responsible for operating most public transportation services in Greater Boston, Massachusetts.",neutral,False
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority (MBTA),https://www.mass.gov/orgs/massachusetts-bay-transportation-authority,3,"The MBTA provides subway, bus, Commuter Rail, ferry, and paratransit service to eastern Massachusetts and parts of Rhode Island.",neutral,False
2026-01-23,Massachusetts Bay Transportation Authority,MBTA,https://www.linkedin.com/company/mbta,4,"The Massachusetts Bay Transportation Authority, often referred to as the MBTA or simply The T, is the public operator of most bus, subway, commuter rail and ...",positive,True
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority - MBTA,https://www.facebook.com/TheMBTA/,5,"Massachusetts Bay Transportation Authority - MBTA, Boston. 34211 likes · 2152 talking about this · 175 were here. The official Facebook Page of the...",positive,True
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority (MBTA),https://www.masstransitmag.com/home/company/12083939/massachusetts-bay-transportation-authority-mbta,6,"Led by the Massachusetts Port Authority, Massachusetts Department of Transportation and the MBTA, the 26-acre Anderson RTC features a train/bus station, ...",neutral,False
2026-01-23,Massachusetts Bay Transportation Authority,MBTA - Massachusetts Bay Transportation Authority,https://www.mbta.com/,1,"Public transit in the Greater Boston region. Routes, schedules, trip planner, fares, service alerts, real-time updates, and general information.",positive,True
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority,https://en.wikipedia.org/wiki/Massachusetts_Bay_Transportation_Authority,2,"The public agency responsible for operating most public transportation services in Greater Boston, Massachusetts.",neutral,False
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority (MBTA),https://www.mass.gov/orgs/massachusetts-bay-transportation-authority,3,"The MBTA provides subway, bus, Commuter Rail, ferry, and paratransit service to eastern Massachusetts and parts of Rhode Island.",neutral,False
2026-01-23,Massachusetts Bay Transportation Authority,MBTA,https://www.linkedin.com/company/mbta,4,"The Massachusetts Bay Transportation Authority, often referred to as the MBTA or simply The T, is the public operator of most bus, subway, commuter rail and ...",positive,True
2026-01-23,Massachusetts Bay Transportation Authority,Massachusetts Bay Transportation Authority - MBTA,https://www.facebook.com/TheMBTA/,5,"Massachusetts Bay Transportation Authority - MBTA, Boston. 34211 likes · 2152 talking about this · 175 were here. The official Facebook Page of the...",positive,True
