date,company,total,controlled,negative_serp,neutral_serp,positive_serp
2026-08-26,Boston T,21,18,0,3,18
2026-08-26,CTA,5,3,0,2,3
2026-08-26,Chicago Transit Authority,6,3,0,3,3
2026-08-26,DC Metro,5,3,0,2,3
2026-08-26,MBTA,12,6,0,6,6
2026-08-26,MTA,7,6,0,1,6
2026-08-26,Massachusetts Bay Transportation Authority,18,9,0,9,9
2026-08-26,Metrorail,9,1,0,8,1
2026-08-26,NYC Subway,7,5,0,1,6
2026-08-26,OMNY,6,2,0,4,2
2026-08-26,The L,7,3,0,2,5
2026-08-26,The T,18,3,0,15,3
2026-08-26,Washington Metropolitan Area Transit Authority,5,2,0,3,2
