ceo,domain,url
Marvin Ellison,corporate.lowes.com,https://corporate.lowes.com/investors/corporate-governance/board-of-directors/marvin-r-ellison
Brian Roberts,www.cmcsa.com,https://www.cmcsa.com/board-directors-management/brian-roberts
Jason Hollar,cg.cardinalhealth.com,https://cg.cardinalhealth.com/board-of-directors/Person-Details/default.aspx?ItemId=3d675a6f-89b7-4374-8157-b7db897b8315
Jason Hollar,investors.davita.com,https://investors.davita.com/board-of-directors?item=11
Jason Hollar,cg.cardinalhealth.com,https://cg.cardinalhealth.com/board-of-directors/default.aspx
Priscilla Almodovar,www.fanniemae.com,https://www.fanniemae.com/about-us/corporate-governance/board-directors
Jon Moeller,us.pg.com,https://us.pg.com/board-of-directors/jon-moeller/
David Solomon,www.goldmansachs.com,https://www.goldmansachs.com/our-firm/our-people-and-leadership/leadership/board-of-directors/david-solomon
Ron Sargent,ir.kroger.com,https://ir.kroger.com/governance/board-of-directors/person-details/default.aspx?ItemId=ed8f2d4a-2958-490c-b842-cbc74641b5b9
Ron Sargent,www.jfklibrary.org,https://www.jfklibrary.org/about-us/jfk-library-foundation/board-of-directors/ronald-l-sargent-chair
Ron Sargent,investor.fivebelow.com,https://investor.fivebelow.com/governance/board-of-directors/person-details/default.aspx?ItemId=d7b8293d-bc9a-4239-9323-0f57fb7352bf
Lane Riggs,www.valero.com,https://www.valero.com/about/board-directors
Ramon Laguarta,investor.visa.com,https://investor.visa.com/investor-relations/corporate-governance/board-of-directors/Person-Details/default.aspx?ItemId=c7cbae14-a466-44c9-a771-15eb49439a5d
John Stankey,investors.att.com,https://investors.att.com/corporate-governance/board-of-directors
Rajesh Subramaniam,us.pg.com,https://us.pg.com/board-of-directors/rajesh-subramaniam/
Darren Woods,corporate.exxonmobil.com,https://corporate.exxonmobil.com/corporate-governance/board-of-directors/darren-woods
Brian Tyler,www.mckesson.com,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/brian-tyler/
Brian Tyler,www.mckesson.com,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/
Ryan Lance,www.conocophillips.com,https://www.conocophillips.com/investor-relations/corporate-governance/board-of-directors/board-members/bio/ryan-m-lance/
Juan Luciano,investors.adm.com,https://investors.adm.com/governance/board-of-directors/default.aspx
Michael Hutchins,www.freddiemac.com,https://www.freddiemac.com/governance/board-directors
Hans Vestberg,ir.blackrock.com,https://ir.blackrock.com/governance/board-of-directors/person-details/default.aspx?ItemId=d6007249-2b1a-4f59-8478-d9327e6400a3
Hans Vestberg,www.verizon.com,https://www.verizon.com/about/investors/board-directors
Doug McMillon,corporate.walmart.com,https://corporate.walmart.com/about/board-of-directors
Kevin Hourican,investors.sysco.com,https://investors.sysco.com/corporate-governance/board-of-directors-and-committee-composition/inside-directors/kevin-p-hourican
Tricia Griffith,investors.progressive.com,https://investors.progressive.com/governance/board-of-directors/person-details/default.aspx?itemid=1dc056e5-9828-445c-95c6-147c2681e2fc
Tricia Griffith,investors.progressive.com,https://investors.progressive.com/governance/board-of-directors/person-details/default.aspx
Tricia Griffith,investors.progressive.com,https://investors.progressive.com/governance/board-of-directors/default.aspx
Maryann Mannen,www.mplx.com,https://www.mplx.com/About/Board-of-Directors/
Maryann Mannen,www.marathonpetroleum.com,https://www.marathonpetroleum.com/About/Board-of-Directors/
Robert Mauch,investor.amerisourcebergen.com,https://investor.amerisourcebergen.com/governance/board-of-directors/person-details/default.aspx?itemid=3c45879d-590a-40ec-bc9b-15018156ad99
Richard Fairbank,ir-capitalone.gcs-web.com,https://ir-capitalone.gcs-web.com/corporate-governance/board-of-directors
Ron Vachris,investor.costco.com,https://investor.costco.com/governance/board-of-directors/person-details/default.aspx?ItemId=f0450829-b19b-4fc4-ac2e-a32ad9dc9234
